block,threshold,population,observations,share_of_opportunities,mean_sweep_p,realised_sweep_rate_500ms,p_next_move_follows_sweep,markout_500ms_observed,markout_500ms_mean_ticks,markout_500ms_median_ticks,markout_500ms_mean_bps,markout_500ms_frac_favourable
992828,,all,36000,,0.01890163297,0.01761111111,0.5,36000,0,0,0,0.01688888889
992828,0.3,score_at_or_above,225,0.00625,0.6802103774,0.6355555556,0.9095238095,225,22.69777778,14,0.3516006038,0.6311111111
992828,0.5,score_at_or_above,136,0.003777777778,0.879421112,0.8529411765,0.954887218,136,31.83823529,25.5,0.4931954421,0.8529411765
992828,0.7,score_at_or_above,118,0.003277777778,0.9226289415,0.9152542373,0.9827586207,118,35.86440678,28.5,0.5555682468,0.9152542373
992828,0.9,score_at_or_above,84,0.002333333333,0.9596110831,0.9761904762,1,84,39.07142857,30.5,0.6052496052,0.9761904762
992829,,all,36000,,0.01897097821,0.01508333333,0.5,36000,0,0,0,0.01436111111
992829,0.3,score_at_or_above,201,0.005583333333,0.6059798445,0.4975124378,0.9234693878,201,15.53482587,0,0.2405155311,0.4975124378
992829,0.5,score_at_or_above,103,0.002861111111,0.8146777711,0.7281553398,0.9417475728,103,25.38349515,15,0.3930002924,0.7378640777
992829,0.7,score_at_or_above,75,0.002083333333,0.9012215504,0.8533333333,0.96,75,33.5,22,0.5186614005,0.8666666667
992829,0.9,score_at_or_above,52,0.001444444444,0.9533663213,0.9615384615,0.9807692308,52,38.85576923,24,0.6015748222,0.9807692308
992830,,all,36000,,0.02151067312,0.01708333333,0.5,36000,0,0,0,0.01627777778
992830,0.3,score_at_or_above,303,0.008416666667,0.591337777,0.4686468647,0.897260274,303,14.23762376,0,0.2201830437,0.4686468647
992830,0.5,score_at_or_above,156,0.004333333333,0.7991680561,0.7115384615,0.9155844156,156,26.23076923,17,0.4056514178,0.7051282051
992830,0.7,score_at_or_above,104,0.002888888889,0.9020546754,0.8942307692,0.9708737864,104,36.77884615,27,0.5687843131,0.8942307692
992830,0.9,score_at_or_above,66,0.001833333333,0.9573718481,0.9848484848,0.9848484848,66,40.5,28,0.6263334616,0.9696969697
992831,,all,36000,,0.01839255551,0.01191666667,0.5,36000,0,0,0,0.01152777778
992831,0.3,score_at_or_above,182,0.005055555556,0.6257009078,0.5164835165,0.9520958084,182,19.79120879,3.5,0.3057692716,0.5164835165
992831,0.5,score_at_or_above,103,0.002861111111,0.8194022355,0.7572815534,0.95,103,30.60194175,19,0.4727981623,0.7669902913
992831,0.7,score_at_or_above,73,0.002027777778,0.9178560699,0.9452054795,0.9589041096,73,39.78082192,37,0.6146175801,0.9589041096
992831,0.9,score_at_or_above,54,0.0015,0.9631423638,0.9814814815,1,54,46.57407407,40.5,0.7195747139,1
992832,,all,36000,,0.03835033773,0.03858333333,0.5,36000,0,0,0,0.03613888889
992832,0.3,score_at_or_above,654,0.01816666667,0.5815281188,0.5091743119,0.8904538341,654,17.49770642,2,0.270928818,0.5137614679
992832,0.5,score_at_or_above,315,0.00875,0.810735149,0.7777777778,0.9549839228,315,28.53333333,23,0.4417974774,0.8031746032
992832,0.7,score_at_or_above,215,0.005972222222,0.9177807758,0.9209302326,0.9953271028,215,36.58837209,29,0.566522248,0.9581395349
992832,0.9,score_at_or_above,148,0.004111111111,0.9619310782,0.9662162162,1,148,40.43918919,32,0.6261792927,0.9932432432
992833,,all,36000,,0.03832394383,0.03705555556,0.5,36000,0,0,0,0.03616666667
992833,0.3,score_at_or_above,752,0.02088888889,0.5578047769,0.4747340426,0.9038718291,752,14.44148936,0,0.2237377045,0.4787234043
