problem,family,task,model,fold,train_rows,validation_rows,validation_start_utc,target,feature_set,n,positives,base_rate,roc_auc,pr_auc,pr_auc_lift,log_loss,brier,accuracy
next_move_matches_sweep_direction__book_flow,next_move_matches_sweep_direction,classification,linear,4,131170,42856,2026-08-19T08:43:23.700Z,next_move_matches_sweep_direction,book_flow,33172,16586,0.5,0.7695963476,0.7630517016,1.526103403,0.573165197,0.1953061543,0.6940491981
next_move_matches_sweep_direction__book_flow,next_move_matches_sweep_direction,classification,lightgbm,4,131170,42856,2026-08-19T08:43:23.700Z,next_move_matches_sweep_direction,book_flow,33172,16586,0.5,0.7629537864,0.7578204358,1.515640872,0.5779801724,0.1977357714,0.689919209
next_move_matches_sweep_direction__book_flow,next_move_matches_sweep_direction,classification,naive,5,164342,42856,2026-08-19T14:40:31.383Z,next_move_matches_sweep_direction,book_flow,42816,21408,0.5,0.5,0.5,1,0.6931471806,0.25,0.5
next_move_matches_sweep_direction__book_flow,next_move_matches_sweep_direction,classification,linear,5,164342,42856,2026-08-19T14:40:31.383Z,next_move_matches_sweep_direction,book_flow,42816,21408,0.5,0.7160309594,0.7128708327,1.425741665,0.6175119714,0.2149286159,0.6493133408
next_move_matches_sweep_direction__book_flow,next_move_matches_sweep_direction,classification,lightgbm,5,164342,42856,2026-08-19T14:40:31.383Z,next_move_matches_sweep_direction,book_flow,42816,21408,0.5,0.7155047698,0.7123975164,1.424795033,0.6179128674,0.2153160731,0.6518124066
next_move_matches_sweep_direction__book_flow,next_move_matches_sweep_direction,classification,naive,6,207158,42846,2026-08-19T20:37:39.066Z,next_move_matches_sweep_direction,book_flow,42792,21396,0.5,0.5,0.5,1,0.6931471806,0.25,0.5
next_move_matches_sweep_direction__book_flow,next_move_matches_sweep_direction,classification,linear,6,207158,42846,2026-08-19T20:37:39.066Z,next_move_matches_sweep_direction,book_flow,42792,21396,0.5,0.7353546084,0.7272471014,1.454494203,0.6102702228,0.210082344,0.6693774537
next_move_matches_sweep_direction__book_flow,next_move_matches_sweep_direction,classification,lightgbm,6,207158,42846,2026-08-19T20:37:39.066Z,next_move_matches_sweep_direction,book_flow,42792,21396,0.5,0.7357779073,0.7312446385,1.462489277,0.6041405423,0.2087095427,0.6701953636
next_move_matches_sweep_direction__book_flow,next_move_matches_sweep_direction,classification,naive,7,249950,42852,2026-08-20T02:34:46.750Z,next_move_matches_sweep_direction,book_flow,42376,21188,0.5,0.5,0.5,1,0.6931471806,0.25,0.5
next_move_matches_sweep_direction__book_flow,next_move_matches_sweep_direction,classification,linear,7,249950,42852,2026-08-20T02:34:46.750Z,next_move_matches_sweep_direction,book_flow,42376,21188,0.5,0.7336971709,0.7238897695,1.447779539,0.6090982852,0.2101781205,0.670639041
