alpha_pct,beta_pct,side,horizon_ms,observed_fills,p_trade_through_given_fill,p_at_quote_given_fill,mean_markout_trade_through_ticks,mean_markout_at_quote_ticks,mean_markout_total_ticks,reconstructed_mean_ticks,reconstruction_error_ticks,required_benefit_ticks
75,25,1,1000,162303,0.6122006371,0.3877993629,-59.06476319,-42.63235411,-52.69228542,-52.69228542,-7.105427358e-15,52.69228542
75,25,1,5000,162271,0.612185788,0.387814212,-71.84212301,-50.55741209,-63.58760962,-63.58760962,7.105427358e-15,63.58760962
75,50,0,100,166899,0.5377144261,0.4622855739,-32.79010296,-24.48657248,-28.95150061,-28.95150061,0,28.95150061
75,50,0,500,166898,0.5377176479,0.4622823521,-50.34108687,-37.29325116,-44.30930269,-44.30930269,0,44.30930269
75,50,0,1000,166886,0.5376963915,0.4623036085,-54.29478793,-40.94431123,-48.12281438,-48.12281438,0,48.12281438
75,50,0,5000,166882,0.5376972951,0.4623027049,-62.28756185,-48.64725859,-55.98161276,-55.98161276,0,55.98161276
75,50,1,100,164343,0.5283340331,0.4716659669,-34.51621021,-24.88907953,-29.97542031,-29.97542031,-3.552713679e-15,29.97542031
75,50,1,500,164341,0.528328293,0.471671707,-54.09612904,-39.02318261,-46.98664667,-46.98664667,0,46.98664667
75,50,1,1000,164340,0.5283315078,0.4716684922,-58.61848409,-42.25992724,-50.90266825,-50.90266825,-7.105427358e-15,50.90266825
75,50,1,5000,164308,0.5283065949,0.4716934051,-71.16068199,-50.96675613,-61.63534034,-61.63534034,0,61.63534034
75,75,0,100,172543,0.2022916027,0.7977083973,-31.62074547,-23.71222183,-25.31204975,-25.31204975,3.552713679e-15,25.31204975
75,75,0,500,172537,0.2022986374,0.7977013626,-48.54051112,-37.27965314,-39.55770936,-39.55770936,-7.105427358e-15,39.55770936
75,75,0,1000,172522,0.20231043,0.79768957,-52.35776294,-41.04122251,-43.33067667,-43.33067667,0,43.33067667
75,75,0,5000,172520,0.2023127753,0.7976872247,-58.07358966,-49.18557664,-50.98373522,-50.98373522,-7.105427358e-15,50.98373522
75,75,1,100,169543,0.1910901659,0.8089098341,-32.45328415,-25.27734515,-26.64859652,-26.64859652,-3.552713679e-15,26.64859652
75,75,1,500,169541,0.1910806236,0.8089193764,-51.30739906,-40.59515112,-42.64205413,-42.64205413,7.105427358e-15,42.64205413
75,75,1,1000,169540,0.1910817506,0.8089182494,-56.02293493,-44.28237108,-46.52577858,-46.52577858,-7.105427358e-15,46.52577858
75,75,1,5000,169508,0.1910765274,0.8089234726,-68.55305814,-54.34738439,-57.0617552,-57.0617552,7.105427358e-15,57.0617552
75,100,0,100,180622,0.1419982062,0.8580017938,-32.33369074,-18.69444552,-20.63119387,-20.63119387,-3.552713679e-15,20.63119387
75,100,0,500,180617,0.1420021371,0.8579978629,-48.73986276,-30.42506243,-33.02580322,-33.02580322,-7.105427358e-15,33.02580322
75,100,0,1000,180598,0.1420115394,0.8579884606,-52.34926112,-34.04412685,-36.64366715,-36.64366715,0,36.64366715
75,100,0,5000,180596,0.1420131121,0.8579868879,-57.20819199,-42.48996767,-44.58014851,-44.58014851,-7.105427358e-15,44.58014851
75,100,1,100,178173,0.1338698905,0.8661301095,-32.90508133,-20.12601331,-21.83674575,-21.83674575,0,21.83674575
75,100,1,500,178171,0.133860168,0.866139832,-51.08469602,-33.63466735,-35.97053112,-35.97053112,0,35.97053112
75,100,1,1000,178170,0.1338609193,0.8661390807,-55.5766457,-37.30839813,-39.75380255,-39.75380255,-7.105427358e-15,39.75380255
75,100,1,5000,178140,0.1338441675,0.8661558325,-67.94782536,-47.2970667,-50.0610503,-50.0610503,0,50.0610503
100,0,0,100,160846,0.7880457083,0.2119542917,-34.52133266,-24.89849525,-32.48173097,-32.48173097,7.105427358e-15,32.48173097
100,0,0,500,160846,0.7880457083,0.2119542917,-52.52511163,-37.06582189,-49.24844883,-49.24844883,0,49.24844883
100,0,0,1000,160834,0.7880298942,0.2119701058,-56.72685455,-40.6604042,-53.32124737,-53.32124737,7.105427358e-15,53.32124737
100,0,0,5000,160831,0.788032158,0.211967842,-65.18659066,-47.11991435,-61.35703627,-61.35703627,0,61.35703627
100,0,1,100,158168,0.7814096404,0.2185903596,-35.92828535,-25.55708047,-33.66123995,-33.66123995,0,33.66123995
100,0,1,500,158166,0.7814068763,0.2185931237,-56.07275956,-38.58379129,-52.24979136,-52.24979136,0,52.24979136
100,0,1,1000,158164,0.7814104347,0.2185895653,-60.54933612,-41.36647095,-56.35616196,-56.35616196,7.105427358e-15,56.35616196
100,0,1,5000,158133,0.7814118495,0.2185881505,-73.04660629,-48.2624255,-67.62907805,-67.62907805,0,67.62907805
100,25,0,100,161556,0.7541657382,0.2458342618,-34.22043664,-25.54226256,-32.08704412,-32.08704412,-7.105427358e-15,32.08704412
100,25,0,500,161556,0.7541657382,0.2458342618,-52.18548096,-38.00686121,-48.69989044,-48.69989044,0,48.69989044
100,25,0,1000,161544,0.7541474768,0.2458525232,-56.32124799,-41.80149058,-52.751529,-52.751529,0,52.751529
