symbol,horizon,features,model,final_holdout,observations,directional_accuracy,auc,ic,gross_sharpe,net_sharpe,annualized_return,max_drawdown,turnover_roundtrips_per_year,trade_count,gross_edge_bp,all_in_cost_bp,net_edge_bp,long_net_edge_bp,short_net_edge_bp,top_5pct_net_pnl_share
ETHUSDT,30m,plus_basis,momentum,False,17280,0.4865162037037037,0.4812214867225177,-0.013754001337911884,0.787625751102662,-23.306505352683537,-18.648301857261096,-0.9560100941713375,2898.8494660695833,2880,0.3594580725181995,10.996180555555556,-10.636722483037357,-10.297185935175241,-11.015327246060464,-0.6545343297596926
ETHUSDT,30m,plus_basis,momentum,True,4320,0.4976851851851852,0.4943269738828503,0.010407342650348459,9.276862248212847,-20.421404078769385,-13.261072468128216,-0.45072185687192834,2926.063977746871,720,3.4360754801915268,11.0,-7.563924519808474,-6.538531929551079,-8.660033840428449,-0.7382437619733584
ETHUSDT,30m,plus_basis,ridge,False,17280,0.496875,0.49432635763779004,0.009021445200449037,-0.8806202588118028,-24.962996366103894,-19.990401917766537,-0.9650315507904642,2898.8494660695833,2880,-0.40223700534253687,11.0,-11.402237005342538,-10.981680034706775,-11.815842621091756,-0.6139202425944438
ETHUSDT,30m,plus_basis,ridge,True,4320,0.5018518518518519,0.503154421250549,0.002131701175425449,-2.6591278544493138,-32.29065210270249,-21.015850508188056,-0.5842369826801678,2926.063977746871,720,-0.9871380950194222,11.0,-11.987138095019423,-10.721862664747698,-12.627716869341091,-0.4006969742357751
ETHUSDT,30m,plus_oi,unconditional,False,17264,0.5,0.4959959700409092,-0.004442699718692975,3.0306286622361274,-22.40671550934219,-16.98754347254462,-0.9419665621387492,2896.1158666079937,2878,1.3105501525526964,11.0,-9.689449847447307,-9.042822571215979,-10.33607712367863,-0.6500507653425392
ETHUSDT,30m,plus_oi,unconditional,True,4313,0.4783213540459077,0.5,-6.5998370525736556e-18,-4.259207567048013,-35.89919636980025,-21.88127139193707,-0.5957497914717189,2921.0971728719296,719,-1.4807616883054244,11.0,-12.480761688305423,,-12.480761688305423,-0.33562631592764686
ETHUSDT,30m,plus_oi,momentum,False,17264,0.4866195551436515,0.4771077523941142,-0.012564161236641414,-2.71420460621906,-28.15023024215164,-21.3430678218468,-0.9716917347894148,2896.1158666079937,2878,-1.1737781324702234,11.0,-12.173778132470225,-11.502697204856048,-12.913486766341512,-0.5235556946601273
ETHUSDT,30m,plus_oi,momentum,True,4313,0.5035937862276837,0.4935605223443025,0.016703658112698486,14.322188999004208,-17.44189222642511,-10.574936631019057,-0.38554511665201474,2921.0971728719296,719,4.95290960292699,10.984700973574409,-6.0317913706474195,-4.718282233077626,-7.430086096351223,-0.904587068826352
ETHUSDT,30m,plus_oi,ridge,False,17264,0.5056186283595923,0.5070263784267475,0.0029193017190287025,-1.4203329304355914,-26.852477889472294,-20.362238711211955,-0.9666850878607108,2896.1158666079937,2878,-0.614327350679873,11.0,-11.614327350679874,-10.961713679679953,-12.09045294959448,-0.5086617603467647
ETHUSDT,30m,plus_oi,ridge,True,4313,0.5008115001159286,0.4918314232895662,-0.012379293456599933,-1.7006612111934487,-33.32688254755076,-20.322237945231986,-0.5811153142399255,2921.0971728719296,719,-0.5915114905498423,11.0,-11.591511490549845,-10.16093058768207,-13.20408937218482,-0.3758111699231626
