queue_cell,threshold,latency_ms,utc_day,eligible_opportunities,baseline_fills,cancelled_opportunities,cancel_rate,fills_prevented,surviving_fills,favourable_fills_sacrificed,adverse_markout_avoided,favourable_markout_sacrificed,net_markout_preserved,net_per_eligible_opportunity,avoidance_efficiency_ticks,avoidance_efficiency_lift,net_markout_lift_over_random,cancel_too_late_rate,catastrophic_25_avoided,catastrophic_25_avoidance_lift,catastrophic_50_avoided,catastrophic_50_avoidance_lift,catastrophic_100_avoided,catastrophic_100_avoidance_lift
conservative,0.8,0,2026-08-19,172796,107550,32892,0.1903516285,392,107158,59,29154,15895.5,13258.5,0.07672920669,1.834103992,0.1941121168,0.6044813458,0.9880669711,243,0.9438800791,158,0.9401061502,92,1.22483145
conservative,0.8,0,2026-08-20,147124,118727,33445,0.2273252494,558,118169,120,41108,8196,32912,0.2237024551,5.015617374,0.524708408,0.9401012433,0.9833014125,372,0.9775269335,292,1.051955457,158,1.152921548
conservative,0.8,25,2026-08-18,108614,50678,14672,0.135083875,81,50597,4,6034.5,54,5980.5,0.05506196255,111.75,1.458928132,1.625306985,0.9944781512,59,1.151894306,56,2.061100181,16,1.908937669
conservative,0.8,25,2026-08-19,172796,107550,32892,0.1903516285,325,107225,46,24896.5,10638.5,14258,0.08251348411,2.340226536,0.2476775192,0.7840609539,0.9901065449,209,0.9791732463,127,0.9114361165,72,1.156175346
conservative,0.8,25,2026-08-20,147124,118727,33445,0.2273252494,468,118259,113,33219,7601.5,25617.5,0.1741218292,4.370058541,0.4571733226,0.8724598365,0.9859947331,299,0.9367966446,239,1.026598785,122,1.061428748
conservative,0.8,50,2026-08-18,108614,50678,14672,0.135083875,74,50604,4,5043,54,4989,0.0459333051,93.38888889,1.219218588,1.48410528,0.994955348,52,1.111264044,49,1.974060477,10,1.305945534
conservative,0.8,50,2026-08-19,172796,107550,32892,0.1903516285,281,107269,40,21614.5,10278.5,11336,0.06560337045,2.102884662,0.2225584782,0.7209880964,0.9914459665,175,0.9482619895,97,0.8051397869,61,1.132916975
conservative,0.8,50,2026-08-20,147124,118727,33445,0.2273252494,396,118331,96,26747.5,5761,20986.5,0.1426449797,4.642857143,0.4857121264,0.8446939456,0.9881493895,247,0.9145801234,195,0.9898927047,95,0.9767991829
conservative,0.8,100,2026-08-18,108614,50678,14672,0.135083875,55,50623,4,3841.5,54,3787.5,0.03487119524,71.13888889,0.92873849,1.515908115,0.9962505965,38,1.092613459,35,1.89714903,8,1.405672283
conservative,0.8,100,2026-08-19,172796,107550,32892,0.1903516285,216,107334,35,18162.5,9592,8570.5,0.04959894905,1.893505004,0.2003988139,0.7091318395,0.9934246575,126,0.8882053968,82,0.8854539409,52,1.256389105
