queue_cell,threshold,latency_ms,file_index,segment_id,eligible_opportunities,baseline_fills,cancelled_opportunities,cancel_rate,fills_prevented,surviving_fills,favourable_fills_sacrificed,adverse_markout_avoided,favourable_markout_sacrificed,net_markout_preserved,net_per_eligible_opportunity,avoidance_efficiency_ticks,avoidance_efficiency_lift,net_markout_lift_over_random,cancel_too_late_rate,catastrophic_25_avoided,catastrophic_25_avoidance_lift,catastrophic_50_avoided,catastrophic_50_avoidance_lift,catastrophic_100_avoided,catastrophic_100_avoidance_lift
conservative,0.4,50,2,2,145274,97566,44559,0.306723846,14352,83214,2319,946560,158783.5,787776.5,5.422694357,5.961324697,0.6842385701,0.932154445,0.6676469907,9213,0.9631933239,6232,0.9525714533,3109,1.01851579
conservative,0.4,50,2,3,236,189,98,0.4152542373,48,141,6,1297,108,1189,5.038135593,12.00925926,0.4106551371,0.5543738899,0.5,24,0.7809917355,4,0.21,1,0.1640625
conservative,0.4,50,2,4,34076,25052,10838,0.3180537622,3363,21689,363,164523,8918.5,155604.5,4.566395704,18.44738465,0.8032987668,0.8035548817,0.6789498807,2030,0.8761345003,1257,0.8216717824,433,0.7044218012
conservative,0.4,50,2,5,32396,26415,12639,0.3901407581,5439,20976,1218,351659,67702,283957,8.76518706,5.194218782,0.7385708101,0.8280617166,0.5558187015,3248,0.9156146096,2352,0.8916324021,1193,0.8704797781
conservative,0.4,50,2,6,68414,57344,27252,0.3983395212,12366,44978,2422,835975,126220.5,709754.5,10.37440436,6.623131742,0.7580075453,0.8744020483,0.5307733171,7958,0.9335462999,5845,0.896998904,2952,0.8573373996
conservative,0.4,100,2,1,148138,70389,27244,0.1839095978,3436,66953,297,139167,3490.5,135676.5,0.9158791127,39.87021917,0.4962721514,0.8842380431,0.8702808819,1972,0.9080623486,979,0.8645746738,280,0.8154687212
conservative,0.4,100,2,2,145274,97566,44559,0.306723846,12916,84650,2172,848104.5,149608,698496.5,4.808131531,5.668844581,0.6506678142,0.918403388,0.7009008175,8213,0.954110345,5571,0.9462102876,2792,1.016358322
conservative,0.4,100,2,3,236,189,98,0.4152542373,43,146,6,1124.5,108,1016.5,4.30720339,10.41203704,0.3560383205,0.52905531,0.5520833333,19,0.690178743,4,0.2344186047,1,0.1831395349
conservative,0.4,100,2,4,34076,25052,10838,0.3180537622,3144,21908,357,154251.5,8875.5,145376,4.266228431,17.37947158,0.7567960636,0.803027534,0.6998568019,1908,0.8808408446,1182,0.8264658284,409,0.7117255065
conservative,0.4,100,2,5,32396,26415,12639,0.3901407581,4841,21574,1110,306308,60651,245657,7.582942339,5.050337175,0.7181121502,0.8048653802,0.6046549612,2880,0.9121644808,2084,0.8876264106,1034,0.8476620846
conservative,0.4,100,2,6,68414,57344,27252,0.3983395212,11109,46235,2260,747469.5,117000.5,630469,9.215496828,6.388600903,0.7311658408,0.864611533,0.5784700615,7057,0.9215232989,5221,0.8918983603,2652,0.8573599874
conservative,0.5,0,2,1,148138,70389,24703,0.1667566728,2052,68337,156,84956.5,3184,81772.5,0.5520021871,26.68231784,0.3321198517,0.8923755001,0.9160873477,1109,0.855098418,562,0.8310591433,221,1.077748305
conservative,0.5,0,2,2,145274,97566,38744,0.2666960365,9035,88531,1417,619627,121527.5,498099.5,3.428689924,5.098656683,0.5852218652,0.9362357663,0.762804862,5863,0.9736806864,4048,0.9828673092,2127,1.106875572
conservative,0.5,0,2,3,236,189,89,0.3771186441,34,155,4,755,2,753,3.190677966,377.5,12.90856587,0.4956535367,0.6091954023,13,0.5972289742,2,0.1482352941,2,0.4632352941
conservative,0.5,0,2,4,34076,25052,9269,0.2720096255,1717,23335,167,81319,4014.5,77304.5,2.268590797,20.25632084,0.8820696189,0.7819063482,0.8111318887,1004,0.8487211587,625,0.8002020961,213,0.6787050299
conservative,0.5,0,2,5,32396,26415,10595,0.327046549,3630,22785,846,238023.5,52695,185328.5,5.720721694,4.517003511,0.6422769394,0.809775759,0.6509615385,2105,0.8891217353,1571,0.8923539365,814,0.8899284309
conservative,0.5,0,2,6,68414,57344,22619,0.3306194639,7922,49422,1500,534643,81958.5,452684.5,6.61684012,6.523338031,0.746586304,0.8705486374,0.6427025077,5082,0.9305955939,3714,0.889700225,1885,0.8545572732
conservative,0.5,25,2,1,148138,70389,24703,0.1667566728,1891,68498,150,77286,3024,74262,0.5013028392,25.55753968,0.3181195255,0.8794128997,0.9226711376,1018,0.851761807,518,0.8312108504,190,1.005459318
conservative,0.5,25,2,2,145274,97566,38744,0.2666960365,8301,89265,1323,571222.5,111154,460068.5,3.166901854,5.139018839,0.589854618,0.9412161367,0.7820745058,5356,0.9681328861,3707,0.9796585104,1972,1.116955746
conservative,0.5,25,2,3,236,189,89,0.3771186441,25,164,4,618.5,2,616.5,2.612288136,309.25,10.57476555,0.5518934281,0.7126436782,9,0.5623140496,2,0.2016,2,0.63
conservative,0.5,25,2,4,34076,25052,9269,0.2720096255,1578,23474,164,73080,3910,69170,2.029874398,18.69053708,0.8138869371,0.761256538,0.8264217358,896,0.8241430915,570,0.7940682275,194,0.6726149106
conservative,0.5,25,2,5,32396,26415,10595,0.327046549,3328,23087,794,214016.5,48131.5,165885,5.120539573,4.446495538,0.6322513451,0.7905930381,0.68,1903,0.8767408106,1411,0.8742009618,725,0.8645537337
conservative,0.5,25,2,6,68414,57344,22619,0.3306194639,7270,50074,1403,487646.5,75541.5,412105,6.023693981,6.455345737,0.7388046874,0.8635862654,0.6721089663,4627,0.923264757,3385,0.8836105677,1724,0.8516624686
conservative,0.5,50,2,1,148138,70389,24703,0.1667566728,1692,68697,149,66588,3023.5,63564.5,0.4290897676,22.02348272,0.2741304507,0.8412634017,0.9308088656,870,0.8135435518,452,0.810608305,149,0.8812281079
conservative,0.5,50,2,2,145274,97566,38744,0.2666960365,7714,89852,1258,533287.5,106690,426597.5,2.936502747,4.998476896,0.5737232675,0.9391521362,0.7974849702,4951,0.9630262164,3437,0.9774227451,1834,1.117838766
conservative,0.5,50,2,3,236,189,89,0.3771186441,21,168,4,334.5,2,332.5,1.408898305,167.25,5.719093092,0.3543516874,0.7586206897,5,0.3719008264,0,0,0,0
conservative,0.5,50,2,4,34076,25052,9269,0.2720096255,1451,23601,162,67066.5,3810,63256.5,1.856335838,17.60275591,0.7665190692,0.7571082959,0.8403915961,819,0.8192531143,530,0.8029683357,185,0.6975511764
conservative,0.5,50,2,5,32396,26415,10595,0.327046549,3048,23367,754,192143,45162.5,146980.5,4.536995308,4.254481041,0.6049486247,0.7648459017,0.7069230769,1720,0.8652253519,1271,0.8598014471,640,0.8333017868
conservative,0.5,50,2,6,68414,57344,22619,0.3306194639,6759,50585,1332,450301.5,71277,379024.5,5.540159909,6.317627005,0.7230429839,0.854313149,0.6951560527,4287,0.9200940164,3118,0.8754478964,1597,0.8485689336
