signal,horizon_s,grouping,key,rows,raw_spread_ticks,demeaned_spread_ticks,demeaned_incremental_spread_ticks
obi_l10,600,segment_key,2:6,329472,-24.16136249786976,9.005664971037513,-77.68056361704208
direction_p2_logistic,1,utc_day,2026-08-18,541240,18.28025372875254,18.02648944470444,
direction_p2_logistic,1,utc_day,2026-08-19,861524,41.237887441226334,41.00982247028193,
direction_p2_logistic,1,utc_day,2026-08-20,733724,52.83452334807052,52.698442970411946,
direction_p2_logistic,1,segment_key,2:1,738231,17.73024834776247,17.506960383093855,
direction_p2_logistic,1,segment_key,2:2,724526,47.95851348506923,47.68522649277573,
direction_p2_logistic,1,segment_key,2:3,1168,31.01295081967213,31.01295081967213,
direction_p2_logistic,1,segment_key,2:4,169753,33.55869368477328,33.4250233052542,
direction_p2_logistic,1,segment_key,2:5,161358,58.08425157960239,57.523785175676316,
direction_p2_logistic,1,segment_key,2:6,341452,67.41760743382184,67.49671501401251,
direction_p2_logistic,2,utc_day,2026-08-18,541210,27.31619142227216,26.808379806301332,
direction_p2_logistic,2,utc_day,2026-08-19,861474,54.70017873419327,54.24384673638155,
direction_p2_logistic,2,utc_day,2026-08-20,733644,66.47016875485265,66.20168199109311,
direction_p2_logistic,2,segment_key,2:1,738181,27.044467978514916,26.595651247218157,
direction_p2_logistic,2,segment_key,2:2,724486,62.47806927727984,61.93333413093505,
direction_p2_logistic,2,segment_key,2:3,1158,47.11545129074807,47.11545129074807,
direction_p2_logistic,2,segment_key,2:4,169733,49.69926374978094,49.43897828449413,
direction_p2_logistic,2,segment_key,2:5,161338,71.82521118157794,70.70899354077356,
direction_p2_logistic,2,segment_key,2:6,341432,78.42951600045413,78.5909548648656,
direction_p2_logistic,5,utc_day,2026-08-18,541120,43.38613099159015,42.11295056064148,
direction_p2_logistic,5,utc_day,2026-08-19,861324,75.47387176226472,74.34676050851711,
direction_p2_logistic,5,utc_day,2026-08-20,733404,81.42164664588236,80.76083643487823,
direction_p2_logistic,5,segment_key,2:1,738031,43.86220537164053,42.73360052489613,
direction_p2_logistic,5,segment_key,2:2,724366,82.41146049149785,81.06658128442697,
direction_p2_logistic,5,segment_key,2:3,1128,79.27830341027833,79.27830341027833,
direction_p2_logistic,5,segment_key,2:4,169673,71.78466360133206,71.15455349865167,
direction_p2_logistic,5,segment_key,2:5,161278,90.3835957452314,87.62670390857227,
direction_p2_logistic,5,segment_key,2:6,341372,86.60527369180562,87.00945230363321,
direction_p2_logistic,10,utc_day,2026-08-18,540970,56.174921835813066,53.61344936025117,11.488697101879087
direction_p2_logistic,10,utc_day,2026-08-19,861074,91.09708702420816,88.87949794657564,14.53292576237159
direction_p2_logistic,10,utc_day,2026-08-20,733004,86.92973956424203,85.61215131763612,4.92162778068378
direction_p2_logistic,10,segment_key,2:1,737781,56.7085002047328,54.43518980764611,11.704865623650873
direction_p2_logistic,10,segment_key,2:2,724166,96.57871549767188,93.93606282772639,12.858132112810363
direction_p2_logistic,10,segment_key,2:3,1078,24.271463232549458,24.271463232549472,-49.73845962423789
direction_p2_logistic,10,segment_key,2:4,169573,73.97419547138773,72.63151245089168,1.5083115627607588
direction_p2_logistic,10,segment_key,2:5,161178,113.51493179775295,108.01545745407802,20.340642797439457
direction_p2_logistic,10,segment_key,2:6,341272,86.42662049395673,87.25835896315932,0.3932862991167245
direction_p2_logistic,30,utc_day,2026-08-18,540370,74.89239013316866,67.31187819375621,25.244038044950937
direction_p2_logistic,30,utc_day,2026-08-19,860074,125.37827580548735,118.73160794043837,44.32441370406225
direction_p2_logistic,30,utc_day,2026-08-20,731404,92.97472097884616,89.00362256159141,8.22692527806416
direction_p2_logistic,30,segment_key,2:1,736781,75.73975328990983,69.01011755593018,26.317620077043227
direction_p2_logistic,30,segment_key,2:2,723366,128.444448993247,120.56168548062948,39.387509632626966
direction_p2_logistic,30,segment_key,2:3,878,-64.58327752305392,-64.58327752305394,-96.05486579774352
direction_p2_logistic,30,segment_key,2:4,169173,77.16582529333154,72.76355379252792,1.5489268027299117
direction_p2_logistic,30,segment_key,2:5,160778,152.14817674495325,135.84580782067817,48.167536728441576
direction_p2_logistic,30,segment_key,2:6,340872,81.92571079510338,84.41717298883194,-2.563639031544593
direction_p2_logistic,60,utc_day,2026-08-18,539470,77.28596416702035,62.927744898445866,20.832479311051692
direction_p2_logistic,60,utc_day,2026-08-19,858574,137.57352219321533,124.22655510848065,49.76956583437176
direction_p2_logistic,60,utc_day,2026-08-20,729004,80.66216429637795,72.88323288716452,-8.146907621840494
direction_p2_logistic,60,segment_key,2:1,735281,78.01671761195641,65.29130637467547,22.5452953051858
direction_p2_logistic,60,segment_key,2:2,722166,142.8492981172405,127.00962418527507,45.65508139363158
direction_p2_logistic,60,segment_key,2:3,578,-147.693624898762,-147.69362489876198,-223.82147402522273
direction_p2_logistic,60,segment_key,2:4,168573,62.485840755101506,53.40238298971818,-17.713786980213
direction_p2_logistic,60,segment_key,2:5,160178,134.83717314529264,103.1027532953627,15.287979226497836
direction_p2_logistic,60,segment_key,2:6,340272,68.02485448775653,72.94428659006653,-14.026656169580782
direction_p2_logistic,120,utc_day,2026-08-18,537670,77.17981076881043,50.84131773642062,8.91910927706519
direction_p2_logistic,120,utc_day,2026-08-19,855574,158.89095908326792,132.04767586858452,57.425395088388036
direction_p2_logistic,120,utc_day,2026-08-20,724226,69.1256147029435,55.37898272526131,-26.07381936257265
direction_p2_logistic,120,segment_key,2:1,732281,76.58253880755183,52.68877005415489,10.021517356671865
direction_p2_logistic,120,segment_key,2:2,719766,165.4175172377264,134.34398700999458,52.782058938521644
direction_p2_logistic,120,segment_key,2:4,167373,53.0776230423846,38.760193161777735,-32.621681230958814
direction_p2_logistic,120,segment_key,2:5,158978,114.94246567118907,51.28553812700054,-37.72373825544299
direction_p2_logistic,120,segment_key,2:6,339072,66.7785139820059,76.20022894661206,-10.869790532483467
direction_p2_logistic,300,utc_day,2026-08-18,532270,86.55419745096265,27.740204588720207,-14.111187464797977
direction_p2_logistic,300,utc_day,2026-08-19,846574,156.78668272707347,95.21316609997776,20.232519156083445
