signal,horizon_s,leg,rows,raw_mean_ticks,raw_mean_bps,demeaned_mean_ticks,demeaned_mean_bps,frac_favourable_for_leg
obi_l5,300,down_leg_negative_signal,1062123,98.31669448830314,1.450614650327393,-11.846754769562134,-0.160248584708803,0.5050601484008914
obi_l5,600,up_leg_top_decile,204547,250.0512229463155,3.702722299970848,21.661579069099847,0.33612678505819577,0.5158863244144377
obi_l5,600,down_leg_bottom_decile,204547,177.51803253042087,2.60474990689464,-23.7728452958721,-0.33263475203955073,0.505492625166832
obi_l5,600,up_leg_positive_signal,1008122,228.36821981863307,3.3811401128052796,5.0454229694023685,0.08960734873925079,0.5120957582514815
obi_l5,600,down_leg_negative_signal,1037261,194.10137757035113,2.866176259659696,-4.884948284254698,-0.0538402255150562,0.49996577524846686
obi_l10,1,up_leg_top_decile,213648,20.46966271624354,0.29635529618755574,19.971267339191208,0.28905143971020963,0.38393525799445816
obi_l10,1,down_leg_bottom_decile,213649,-19.26152708414268,-0.2782789578611832,-19.641740058025988,-0.28379091575456944,0.3944787946585287
obi_l10,1,up_leg_positive_signal,1052865,8.544182302574404,0.1236960628659888,8.098202959620549,0.11715714284881441,0.2079449881988669
obi_l10,1,down_leg_negative_signal,1083559,-7.500921500352081,-0.10839650427538279,-7.868588670932629,-0.11375232351247075,0.20703164294699228
obi_l10,2,up_leg_top_decile,213632,27.296133069952067,0.3966087362129207,26.298161115459145,0.3819835096756245,0.47000449370880765
obi_l10,2,down_leg_bottom_decile,213633,-24.737699699952724,-0.3584369537971202,-25.50075024374212,-0.36949797772155635,0.47342404965524987
obi_l10,2,up_leg_positive_signal,1052774,12.021800975328038,0.17472382819199822,11.12878521183652,0.16163053668534497,0.2840799639808734
obi_l10,2,down_leg_negative_signal,1083490,-10.076058846874451,-0.14613382090126772,-10.813156495168213,-0.15687082182874804,0.2791756269093393
obi_l10,5,up_leg_top_decile,213584,37.24849473743352,0.5444685821165998,34.748925868055736,0.5078361355438238,0.5566100456963068
