signal,horizon_s,gross_decile_spread_bps,gross_edge_per_trade_bps,break_even_all_in_cost_bps,hurdle_bps_one_way,hurdle_bps_round_trip,net_of_one_way_bps,net_of_round_trip_bps,clears_one_way,clears_round_trip
obi_l5,30,1.3787577981149928,0.6893788990574964,0.6893788990574964,3.0,6.0,-2.3106211009425035,-5.3106211009425035,False,False
obi_l5,30,1.3787577981149928,0.6893788990574964,0.6893788990574964,5.0,10.0,-4.3106211009425035,-9.310621100942504,False,False
obi_l5,30,1.3787577981149928,0.6893788990574964,0.6893788990574964,7.5,15.0,-6.8106211009425035,-14.310621100942504,False,False
obi_l5,30,1.3787577981149928,0.6893788990574964,0.6893788990574964,10.0,20.0,-9.310621100942504,-19.310621100942505,False,False
obi_l5,30,1.342513545035418,0.671256772517709,0.671256772517709,1.0,2.0,-0.328743227482291,-1.328743227482291,False,False
obi_l5,30,1.342513545035418,0.671256772517709,0.671256772517709,2.0,4.0,-1.328743227482291,-3.328743227482291,False,False
obi_l5,30,1.342513545035418,0.671256772517709,0.671256772517709,3.0,6.0,-2.328743227482291,-5.328743227482291,False,False
obi_l5,30,1.342513545035418,0.671256772517709,0.671256772517709,5.0,10.0,-4.328743227482291,-9.328743227482292,False,False
obi_l5,30,1.342513545035418,0.671256772517709,0.671256772517709,7.5,15.0,-6.828743227482291,-14.328743227482292,False,False
obi_l5,30,1.342513545035418,0.671256772517709,0.671256772517709,10.0,20.0,-9.328743227482292,-19.328743227482292,False,False
obi_l5,60,1.3161391693166842,0.6580695846583421,0.6580695846583421,1.0,2.0,-0.3419304153416579,-1.341930415341658,False,False
obi_l5,60,1.3161391693166842,0.6580695846583421,0.6580695846583421,2.0,4.0,-1.341930415341658,-3.341930415341658,False,False
obi_l5,60,1.3161391693166842,0.6580695846583421,0.6580695846583421,3.0,6.0,-2.341930415341658,-5.341930415341658,False,False
obi_l5,60,1.3161391693166842,0.6580695846583421,0.6580695846583421,5.0,10.0,-4.341930415341658,-9.341930415341658,False,False
obi_l5,60,1.3161391693166842,0.6580695846583421,0.6580695846583421,7.5,15.0,-6.841930415341658,-14.341930415341658,False,False
obi_l5,60,1.3161391693166842,0.6580695846583421,0.6580695846583421,10.0,20.0,-9.341930415341658,-19.341930415341658,False,False
obi_l5,60,1.280625255358595,0.6403126276792975,0.6403126276792975,1.0,2.0,-0.35968737232070247,-1.3596873723207024,False,False
