problem,family,task,model,fold,train_rows,validation_rows,validation_start_utc,horizon_ms,n,positives,base_rate,roc_auc,log_loss,brier,accuracy,sides,mean_target,median_target,mae,median_abs_error,rmse,spearman,sign_accuracy,r2
move_within_1000ms,price,classification,naive,8,2141203,214252,2026-08-20T08:31:54.433Z,1000,214242,121333,0.5663361993,0.5,1.008413305,0.3798532565,0.4336638007,,,,,,,,,
move_within_1000ms,price,classification,linear,8,2141203,214252,2026-08-20T08:31:54.433Z,1000,214242,121333,0.5663361993,0.7404697944,0.5952471825,0.2049261494,0.673042634,,,,,,,,,
move_within_1000ms,price,classification,lightgbm,8,2141203,214252,2026-08-20T08:31:54.433Z,1000,214242,121333,0.5663361993,0.7467550814,0.5834538794,0.2027190621,0.6742375445,,,,,,,,,
move_within_1000ms,price,classification,naive,9,2355445,214276,2026-08-20T14:29:02.116Z,1000,214272,99857,0.4660291592,0.5,0.8201844731,0.3030292622,0.5339708408,,,,,,,,,
move_within_1000ms,price,classification,linear,9,2355445,214276,2026-08-20T14:29:02.116Z,1000,214272,99857,0.4660291592,0.750279612,0.5962492107,0.2050540562,0.6797155018,,,,,,,,,
move_within_1000ms,price,classification,lightgbm,9,2355445,214276,2026-08-20T14:29:02.116Z,1000,214272,99857,0.4660291592,0.7505029414,0.5843023044,0.2017557348,0.6836124179,,,,,,,,,
move_within_5000ms,price,classification,naive,0,427031,214277,2026-08-18T08:54:52.966Z,5000,214277,81051,0.3782533823,0.5,0.6672704508,0.2370264765,0.6217466177,,,,,,,,,
move_within_5000ms,price,classification,linear,0,427031,214277,2026-08-18T08:54:52.966Z,5000,214277,81051,0.3782533823,0.7919097021,0.5374263113,0.1788458326,0.7368873001,,,,,,,,,
move_within_5000ms,price,classification,lightgbm,0,427031,214277,2026-08-18T08:54:52.966Z,5000,214277,81051,0.3782533823,0.7370058056,0.5722815691,0.1940007394,0.709712195,,,,,,,,,
move_within_5000ms,price,classification,naive,1,641308,214277,2026-08-18T14:52:00.649Z,5000,214277,77539,0.3618633824,0.5,0.6548388963,0.2310810046,0.6381366176,,,,,,,,,
move_within_5000ms,price,classification,linear,1,641308,214277,2026-08-18T14:52:00.649Z,5000,214277,77539,0.3618633824,0.7358412591,0.5745503088,0.1946438092,0.71049156,,,,,,,,,
move_within_5000ms,price,classification,lightgbm,1,641308,214277,2026-08-18T14:52:00.649Z,5000,214277,77539,0.3618633824,0.7251622079,0.6101846345,0.2103592754,0.677655558,,,,,,,,,
move_within_5000ms,price,classification,naive,2,855585,214277,2026-08-18T20:49:08.333Z,5000,214277,63507,0.2963780527,0.5,0.6148704435,0.2116950329,0.7036219473,,,,,,,,,
move_within_5000ms,price,classification,linear,2,855585,214277,2026-08-18T20:49:08.333Z,5000,214277,63507,0.2963780527,0.7167328878,0.5518758595,0.1845869301,0.7258221834,,,,,,,,,
move_within_5000ms,price,classification,lightgbm,2,855585,214277,2026-08-18T20:49:08.333Z,5000,214277,63507,0.2963780527,0.6560544216,0.5946158602,0.1996015927,0.7208146465,,,,,,,,,
move_within_5000ms,price,classification,naive,3,1069862,214250,2026-08-19T02:46:16.016Z,5000,214200,59492,0.2777404295,0.5,0.6001132472,0.2046450305,0.7222595705,,,,,,,,,
move_within_5000ms,price,classification,linear,3,1069862,214250,2026-08-19T02:46:16.016Z,5000,214200,59492,0.2777404295,0.6831785241,0.5454348731,0.1813980826,0.7401540616,,,,,,,,,
move_within_5000ms,price,classification,lightgbm,3,1069862,214250,2026-08-19T02:46:16.016Z,5000,214200,59492,0.2777404295,0.6722459963,0.5522956674,0.1841971645,0.7360971055,,,,,,,,,
move_within_5000ms,price,classification,naive,4,1284063,214277,2026-08-19T08:43:23.700Z,5000,214277,94710,0.4419979746,0.5,0.7132165291,0.259056594,0.5580020254,,,,,,,,,
move_within_5000ms,price,classification,linear,4,1284063,214277,2026-08-19T08:43:23.700Z,5000,214277,94710,0.4419979746,0.8504810611,0.4920141725,0.1597247425,0.7800230543,,,,,,,,,
move_within_5000ms,price,classification,lightgbm,4,1284063,214277,2026-08-19T08:43:23.700Z,5000,214277,94710,0.4419979746,0.8615477582,0.4531150163,0.1446741056,0.802139287,,,,,,,,,
move_within_5000ms,price,classification,naive,5,1498339,214277,2026-08-19T14:40:31.383Z,5000,214277,178954,0.8351526295,0.5,0.9554929848,0.3765489966,0.1648473705,,,,,,,,,
move_within_5000ms,price,classification,linear,5,1498339,214277,2026-08-19T14:40:31.383Z,5000,214277,178954,0.8351526295,0.7583839571,0.3989878215,0.1287460404,0.819532661,,,,,,,,,
move_within_5000ms,price,classification,lightgbm,5,1498339,214277,2026-08-19T14:40:31.383Z,5000,214277,178954,0.8351526295,0.7584906657,0.482236107,0.1642586886,0.7251128213,,,,,,,,,
move_within_5000ms,price,classification,naive,6,1712616,214229,2026-08-19T20:37:39.066Z,5000,214222,185950,0.8680247594,0.5,0.8481788642,0.3265752344,0.1319752406,,,,,,,,,
move_within_5000ms,price,classification,linear,6,1712616,214229,2026-08-19T20:37:39.066Z,5000,214222,185950,0.8680247594,0.7182546329,0.4058708484,0.1269648138,0.837575039,,,,,,,,,
move_within_5000ms,price,classification,lightgbm,6,1712616,214229,2026-08-19T20:37:39.066Z,5000,214222,185950,0.8680247594,0.7103787837,0.4506937175,0.1461913978,0.8055288439,,,,,,,,,
move_within_5000ms,price,classification,naive,7,1926838,214255,2026-08-20T02:34:46.750Z,5000,214218,148485,0.6931490351,0.5,0.7285129172,0.2676407209,0.3068509649,,,,,,,,,
move_within_5000ms,price,classification,linear,7,1926838,214255,2026-08-20T02:34:46.750Z,5000,214218,148485,0.6931490351,0.709658123,0.5581448791,0.1906440134,0.6991009159,,,,,,,,,
