executed_trade_count,gross_executable_edge_bp_per_trade,additional_cost_bp_per_side,net_edge_bp_per_trade,hit_rate,net_trade_sharpe,cumulative_net_pnl_bp,best_day_pnl_fraction,best_5pct_trade_pnl_fraction,positive_days,days,view,model,side,horizon_ms,tail,eligible_oof_observations
2637,0.06222387828216425,1.0,-1.9377761217178358,0.004550625711035267,-194.72067121624812,-5109.915632969933,,,0,4,non_overlapping_trade_tape,obi_only,long,10000,0.01,345461
3456,0.06359913833896114,2.0,-3.936400861661039,0.0008680555555555555,-422.9584440529098,-13604.20137790055,,,0,4,predictive_all_eligible,obi_only,long,10000,0.01,345461
2637,0.06222387828216425,2.0,-3.9377761217178358,0.0007584376185058779,-395.69401280498494,-10383.915632969933,,,0,4,non_overlapping_trade_tape,obi_only,long,10000,0.01,345461
3456,0.06359913833896158,3.0,-5.936400861661038,0.0005787037037037037,-637.8544665451082,-20516.20137790055,,,0,4,predictive_all_eligible,obi_only,long,10000,0.01,345461
2637,0.06222387828216469,3.0,-5.937776121717835,0.0003792188092529389,-596.6673543937217,-15657.915632969933,,,0,4,non_overlapping_trade_tape,obi_only,long,10000,0.01,345461
3456,0.06359913833896158,5.0,-9.936400861661038,0.0005787037037037037,-1067.646511529505,-34340.20137790055,,,0,4,predictive_all_eligible,obi_only,long,10000,0.01,345461
2637,0.06222387828216469,5.0,-9.937776121717835,0.0003792188092529389,-998.6140375711954,-26205.915632969933,,,0,4,non_overlapping_trade_tape,obi_only,long,10000,0.01,345461
34523,0.0776245274311016,1.0,-1.9223754725688984,0.007009819540596125,-507.8282811637257,-66366.16843949608,,,0,4,predictive_all_eligible,obi_only,long,30000,0.1,345221
6831,0.06544280632809674,1.0,-1.9345571936719033,0.007465963987703118,-212.22766574320698,-13214.960189972771,,,0,1,non_overlapping_trade_tape,obi_only,long,30000,0.1,345221
34523,0.0776245274311016,2.0,-3.9223754725688984,0.0017669379833734032,-1036.1624056988328,-135412.16843949608,,,0,4,predictive_all_eligible,obi_only,long,30000,0.1,345221
6831,0.06544280632809674,2.0,-3.9345571936719033,0.001610305958132045,-431.63463539747335,-26876.96018997277,,,0,1,non_overlapping_trade_tape,obi_only,long,30000,0.1,345221
34523,0.0776245274311016,3.0,-5.922375472568898,0.0007241549112186079,-1564.4965302339397,-204458.16843949608,,,0,4,predictive_all_eligible,obi_only,long,30000,0.1,345221
6831,0.06544280632809674,3.0,-5.934557193671903,0.00029278290147855365,-651.0416050517397,-40538.96018997277,,,0,1,non_overlapping_trade_tape,obi_only,long,30000,0.1,345221
34523,0.0776245274311016,5.0,-9.922375472568898,0.00023172957158995453,-2621.1647793041534,-342550.1684394961,,,0,4,predictive_all_eligible,obi_only,long,30000,0.1,345221
6831,0.06544280632809674,5.0,-9.934557193671903,0.00014639145073927682,-1089.8555443602722,-67862.96018997277,,,0,1,non_overlapping_trade_tape,obi_only,long,30000,0.1,345221
17262,0.08679038114774018,1.0,-1.9132096188522598,0.007762715791912872,-337.2324638738426,-33025.82444062771,,,0,4,predictive_all_eligible,obi_only,long,30000,0.05,345221
5323,0.06828233315808863,1.0,-1.9317176668419114,0.00882960736426827,-184.23603621034465,-10282.533140599495,,,0,2,non_overlapping_trade_tape,obi_only,long,30000,0.05,345221
17262,0.08679038114774018,2.0,-3.91320961885226,0.001969644305410729,-689.7630601564907,-67549.82444062771,,,0,4,predictive_all_eligible,obi_only,long,30000,0.05,345221
5323,0.06828233315808863,2.0,-3.9317176668419114,0.0016907758782641368,-374.98444564177555,-20928.533140599495,,,0,2,non_overlapping_trade_tape,obi_only,long,30000,0.05,345221
