problem,family,task,model,fold,train_rows,validation_rows,validation_start_utc,horizon_ms,n,positives,base_rate,roc_auc,pr_auc,pr_auc_lift,log_loss,brier,accuracy,queue_cell,threshold_ticks,mean_target,median_target,mae,median_abs_error,rmse,spearman,sign_accuracy,r2
trade_through_within_1000ms,sweep,classification,lightgbm,3,213988,42850,2026-08-19T02:46:16.016Z,1000,42848,1679,0.03918502614,0.8441586331,0.3059179729,7.807012091,0.1269444006,0.03180110748,0.9637322629,,,,,,,,,,
trade_through_within_1000ms,sweep,classification,naive,4,256836,42856,2026-08-19T08:43:23.700Z,1000,42856,4309,0.1005460146,0.5,0.1005460146,1,0.3452031221,0.09278396582,0.8994539854,,,,,,,,,,
trade_through_within_1000ms,sweep,classification,linear,4,256836,42856,2026-08-19T08:43:23.700Z,1000,42856,4309,0.1005460146,0.8710618394,0.5087912033,5.060282156,0.2328629585,0.0677625106,0.9131743513,,,,,,,,,,
trade_through_within_1000ms,sweep,classification,lightgbm,4,256836,42856,2026-08-19T08:43:23.700Z,1000,42856,4309,0.1005460146,0.8754338308,0.5198595637,5.170364693,0.2257659448,0.06622158098,0.9139443718,,,,,,,,,,
trade_through_within_1000ms,sweep,classification,naive,5,299692,42856,2026-08-19T14:40:31.383Z,1000,42856,11103,0.2590769087,0.5,0.2590769087,1,0.7783713012,0.2319946155,0.7409230913,,,,,,,,,,
trade_through_within_1000ms,sweep,classification,linear,5,299692,42856,2026-08-19T14:40:31.383Z,1000,42856,11103,0.2590769087,0.8094381725,0.6528041317,2.519731052,0.4495904642,0.1420534711,0.8033180885,,,,,,,,,,
trade_through_within_1000ms,sweep,classification,lightgbm,5,299692,42856,2026-08-19T14:40:31.383Z,1000,42856,11103,0.2590769087,0.8072272729,0.6563064506,2.533249504,0.4384977021,0.1398208629,0.8025714019,,,,,,,,,,
trade_through_within_1000ms,sweep,classification,naive,6,342548,42846,2026-08-19T20:37:39.066Z,1000,42842,10720,0.250221745,0.5,0.250221745,1,0.6855498824,0.2152376115,0.749778255,,,,,,,,,,
trade_through_within_1000ms,sweep,classification,linear,6,342548,42846,2026-08-19T20:37:39.066Z,1000,42842,10720,0.250221745,0.7835860753,0.5992951595,2.395056271,0.4640708269,0.1474919676,0.7953643621,,,,,,,,,,
trade_through_within_1000ms,sweep,classification,lightgbm,6,342548,42846,2026-08-19T20:37:39.066Z,1000,42842,10720,0.250221745,0.7885750554,0.6134201621,2.451506211,0.453443654,0.1439708344,0.7973950796,,,,,,,,,,
trade_through_within_1000ms,sweep,classification,naive,7,385390,42852,2026-08-20T02:34:46.750Z,1000,42850,7032,0.1641073512,0.5,0.1641073512,1,0.4642149622,0.1409717461,0.8358926488,,,,,,,,,,
trade_through_within_1000ms,sweep,classification,linear,7,385390,42852,2026-08-20T02:34:46.750Z,1000,42850,7032,0.1641073512,0.822631393,0.572100948,3.486138456,0.3366358918,0.1010990018,0.8667677946,,,,,,,,,,
trade_through_within_1000ms,sweep,classification,lightgbm,7,385390,42852,2026-08-20T02:34:46.750Z,1000,42850,7032,0.1641073512,0.8263031523,0.5822233236,3.547819883,0.3321491261,0.09976429292,0.8692648775,,,,,,,,,,
trade_through_within_1000ms,sweep,classification,naive,8,428240,42852,2026-08-20T08:31:54.433Z,1000,42850,13684,0.3193465578,0.5,0.3193465578,1,0.7872705029,0.2617871702,0.6806534422,,,,,,,,,,
trade_through_within_1000ms,sweep,classification,linear,8,428240,42852,2026-08-20T08:31:54.433Z,1000,42850,13684,0.3193465578,0.7675244006,0.6461215622,2.023261396,0.5212741844,0.1721603273,0.7509684947,,,,,,,,,,
trade_through_within_1000ms,sweep,classification,lightgbm,8,428240,42852,2026-08-20T08:31:54.433Z,1000,42850,13684,0.3193465578,0.7730519221,0.6582172039,2.06113762,0.5097727468,0.1688242659,0.7534189032,,,,,,,,,,
trade_through_within_1000ms,sweep,classification,naive,9,471090,42854,2026-08-20T14:29:02.116Z,1000,42852,11028,0.2573508821,0.5,0.2573508821,1,0.6310597151,0.2079198562,0.7426491179,,,,,,,,,,
trade_through_within_1000ms,sweep,classification,linear,9,471090,42854,2026-08-20T14:29:02.116Z,1000,42852,11028,0.2573508821,0.7773239034,0.6023680125,2.340648719,0.4667286124,0.1506367886,0.787011108,,,,,,,,,,
trade_through_within_1000ms,sweep,classification,lightgbm,9,471090,42854,2026-08-20T14:29:02.116Z,1000,42852,11028,0.2573508821,0.7839569704,0.6186261044,2.403823524,0.4563892387,0.14705618,0.7915383179,,,,,,,,,,
