problem,feature,mean_coefficient,median_coefficient,folds_positive,folds
catastrophic_25_midpoint,signed_trade_imbalance_250ms,0.03218766563,0.02900524903,1,10
catastrophic_25_midpoint,signed_trade_imbalance_5000ms,0.1221993305,0.1261734478,1,10
catastrophic_25_midpoint,signed_trade_imbalance_500ms,0.02998052873,0.03142734431,1,10
catastrophic_25_midpoint,signed_weighted_obi_l10,0.276573208,0.2484411597,1,10
catastrophic_25_midpoint,signed_weighted_obi_l5,0.05403089449,0.06136265583,0.9,10
catastrophic_25_midpoint,spread_ticks,-0.0004976164229,0,0.1,10
catastrophic_25_midpoint,time_since_bbo_change_ms,0.03288485948,0.0298861526,1,10
catastrophic_25_midpoint,time_since_depth_ms,0.02580680605,0.02738948725,1,10
catastrophic_25_midpoint,time_since_mid_change_ms,0.03288223073,0.02988036163,1,10
catastrophic_25_midpoint,time_since_trade_ms,0.01595174205,0.01953312475,1,10
catastrophic_25_midpoint,trade_count_1000ms,-0.0065383062,-0.01240895037,0.4,10
catastrophic_25_midpoint,trade_count_100ms,0.02576433872,0.02046845481,1,10
catastrophic_25_midpoint,trade_count_250ms,0.001672944457,0.004614802776,0.7,10
catastrophic_25_midpoint,trade_count_5000ms,-0.009760947374,-0.01216795295,0.3,10
catastrophic_25_midpoint,trade_count_500ms,0.005304203939,0.003496310499,0.6,10
catastrophic_25_midpoint,unexplained_removal_share,0.03282766137,0.03536388837,1,10
catastrophic_25_optimistic,addition_ratio,0.007606884837,0.04955336824,0.7,10
catastrophic_25_optimistic,backward_mid_abs_change_ticks_1000ms,-0.0193762209,-0.01369878976,0.3,10
catastrophic_25_optimistic,backward_mid_abs_change_ticks_100ms,-0.03931000866,-0.04766554572,0,10
catastrophic_25_optimistic,backward_mid_abs_change_ticks_250ms,-0.01619499987,-0.02942279819,0.4,10
catastrophic_25_optimistic,backward_mid_abs_change_ticks_5000ms,-0.03138838147,-0.00234756188,0.5,10
catastrophic_25_optimistic,backward_mid_abs_change_ticks_500ms,-0.007470785582,-0.00734047615,0.3,10
catastrophic_25_optimistic,bbo_change_count_1000ms,0.001704436168,0.009253286757,0.6,10
catastrophic_25_optimistic,bbo_change_count_100ms,-0.006063927849,-0.003645606568,0.4,10
catastrophic_25_optimistic,bbo_change_count_250ms,-0.01381685557,-0.0157559244,0.2,10
catastrophic_25_optimistic,bbo_change_count_5000ms,0.1340514455,0.09556517005,0.9,10
catastrophic_25_optimistic,bbo_change_count_500ms,0.01486027628,0.01245463453,0.8,10
catastrophic_25_optimistic,consumption_ratio,0.01791430294,0.02172612399,0.9,10
catastrophic_25_optimistic,depth_event_count_1000ms,0.003461749811,0.002641591942,0.8,10
catastrophic_25_optimistic,depth_event_count_100ms,-0.01832895977,-0.01964817476,0,10
catastrophic_25_optimistic,depth_event_count_250ms,0.002297175157,0.003847999615,0.7,10
catastrophic_25_optimistic,depth_event_count_5000ms,-0.0132656449,-0.01091545401,0,10
catastrophic_25_optimistic,depth_event_count_500ms,-0.007873522141,-0.006960607134,0,10
catastrophic_25_optimistic,drawdown_from_max,0.03743006503,0.03994477727,1,10
catastrophic_25_optimistic,has_replenished,-0.02883950246,-0.03036901169,0.1,10
catastrophic_25_optimistic,log_add_events,0.01528339963,0.02233339008,0.6,10
catastrophic_25_optimistic,log_cum_add,0.0192942583,0.01778180152,0.8,10
catastrophic_25_optimistic,log_cum_remove,-0.02414431293,-0.03514971212,0.3,10
catastrophic_25_optimistic,log_cum_replenish,0.1379150376,0.1445280463,1,10
catastrophic_25_optimistic,log_cum_trade_at_quote,0.05667254012,0.06037566625,1,10
catastrophic_25_optimistic,log_cum_trade_through,-0.03743779073,-0.03733186424,0,10
catastrophic_25_optimistic,log_current_qty,-0.1735186197,-0.1953050792,0,10
catastrophic_25_optimistic,log_initial_qty,0.05555211734,0.06163716875,1,10
catastrophic_25_optimistic,log_level_age_ms,-0.463107419,-0.499364838,0,10
catastrophic_25_optimistic,log_max_qty,0.1027830929,0.1023196056,1,10
catastrophic_25_optimistic,log_opp_depth_l1,-0.05101226438,-0.09985893592,0.2,10
catastrophic_25_optimistic,log_opp_depth_l10,-0.1279783554,-0.09195106849,0,10
catastrophic_25_optimistic,log_opp_depth_l5,-0.1028199863,-0.1117618605,0,10
catastrophic_25_optimistic,log_own_depth_l1,-0.1735186197,-0.1953050792,0,10
catastrophic_25_optimistic,log_own_depth_l10,-0.01611480191,0.03513714299,0.6,10
catastrophic_25_optimistic,log_own_depth_l5,-0.04912739452,-0.0675984472,0.2,10
catastrophic_25_optimistic,log_prints_at_quote,-0.08583122604,-0.1293966509,0.4,10
catastrophic_25_optimistic,log_prints_through,0.1108237386,0.1101241261,1,10
catastrophic_25_optimistic,log_remove_events,0.04869503196,0.05984259397,0.7,10
catastrophic_25_optimistic,log_replenish_events,-0.0705196362,-0.08033018559,0.1,10
catastrophic_25_optimistic,log_time_since_add_ms,-0.01317353711,-0.01504857186,0.3,10
catastrophic_25_optimistic,log_time_since_print_ms,-0.1014779959,-0.1038612798,0,10
catastrophic_25_optimistic,log_time_since_qty_change_ms,0.02999248792,0.03250733577,1,10
catastrophic_25_optimistic,log_time_since_remove_ms,-0.01533711553,-0.01838179072,0.2,10
catastrophic_25_optimistic,log_time_since_replenish_ms,-0.02718893895,-0.02413005754,0.1,10
catastrophic_25_optimistic,opp_concentration_l10,-0.07959818263,-0.06986035779,0,10
catastrophic_25_optimistic,opp_concentration_l5,-0.02475129005,-0.0287658684,0.2,10
catastrophic_25_optimistic,opp_dispersion_ticks_l10,-0.02962267441,-0.02065557428,0,10
catastrophic_25_optimistic,own_concentration_l10,0.2290781841,0.2479900047,1,10
catastrophic_25_optimistic,own_concentration_l5,-0.0718374487,-0.06943844631,0,10
catastrophic_25_optimistic,own_dispersion_ticks_l10,0.05826996313,0.06952688098,1,10
catastrophic_25_optimistic,relative_remaining_qty,-0.02207045723,-0.02962725796,0.2,10
catastrophic_25_optimistic,relative_to_max_qty,-0.03742982917,-0.03994468227,0,10
catastrophic_25_optimistic,removal_ratio,-0.001303009689,-0.02421132103,0.3,10
catastrophic_25_optimistic,replenishment_ratio,-0.01402641097,-0.01556320023,0,10
catastrophic_25_optimistic,signed_depth_flow_pressure_l10_1000ms,-0.03931604158,-0.03937213495,0,10
catastrophic_25_optimistic,signed_depth_flow_pressure_l10_100ms,0.004797683074,-0.001293869223,0.5,10
catastrophic_25_optimistic,signed_depth_flow_pressure_l10_250ms,-0.009260571309,-0.007089730818,0.1,10
catastrophic_25_optimistic,signed_depth_flow_pressure_l10_5000ms,-0.08441679142,-0.09282999113,0,10
catastrophic_25_optimistic,signed_depth_flow_pressure_l10_500ms,-0.02823568583,-0.03043425176,0,10
catastrophic_25_optimistic,signed_log_volume_1000ms,-0.05167474747,-0.04794423282,0,10
catastrophic_25_optimistic,signed_log_volume_100ms,0.01571693252,0.01492605056,0.8,10
catastrophic_25_optimistic,signed_log_volume_250ms,0.01109670936,0.009526819689,0.7,10
catastrophic_25_optimistic,signed_log_volume_5000ms,-0.01806847733,-0.0182955903,0.1,10
catastrophic_25_optimistic,signed_log_volume_500ms,-0.01584079424,-0.013157757,0,10
catastrophic_25_optimistic,signed_microprice_offset_ticks,-0.2031685755,-0.2168141156,0,10
catastrophic_25_optimistic,signed_net_depth_flow_l1_1000ms,0.005301186349,0.01773106959,0.7,10
catastrophic_25_optimistic,signed_net_depth_flow_l1_100ms,0.007515884214,0.007747329073,0.6,10
catastrophic_25_optimistic,signed_net_depth_flow_l1_250ms,-0.003219557754,0.002168461564,0.7,10
catastrophic_25_optimistic,signed_net_depth_flow_l1_5000ms,-0.02220409724,-0.01479664026,0.3,10
catastrophic_25_optimistic,signed_net_depth_flow_l1_500ms,0.03346131407,0.02776160836,1,10
catastrophic_25_optimistic,signed_net_depth_flow_l5_1000ms,-0.0354029119,-0.03972523473,0.1,10
catastrophic_25_optimistic,signed_net_depth_flow_l5_100ms,-0.01882954999,-0.02581186686,0.4,10
catastrophic_25_optimistic,signed_net_depth_flow_l5_250ms,-0.002144330554,-0.004899057327,0.3,10
catastrophic_25_optimistic,signed_net_depth_flow_l5_5000ms,-0.02763375873,-0.028684997,0,10
catastrophic_25_optimistic,signed_net_depth_flow_l5_500ms,-0.02122827191,-0.01073736371,0.1,10
catastrophic_25_optimistic,signed_obi_l1,-0.212952134,-0.2158395201,0,10
